property_type,mukim,scheme_name_area,tenure,land_parcel_area,unit_level,transaction_price,year,income_median_area,area_median_price
Condominium/Apartment,Mukim Petaling,THE RAINZ BUKIT JALIL,Freehold,1474.6557248,12,870000,2022,10391.98036882808,970000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1205.5579648,12,1000000,2025,11745.298332582244,580000.0
Flat,Mukim Petaling,TMN DESA TASEK,Leasehold,904.1684736,12,300000,2022,10391.98036882808,241000.0
Condominium/Apartment,Kuala Lumpur Town Centre,PALM COURT,Leasehold,947.2241152,7,420000,2025,10655.9521268712,400000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,462.8481472,3,260000,2022,10302.979398251076,570000.0
Condominium/Apartment,Mukim Setapak,Others,Freehold,1173.2662336,3,500000,2021,9519.48052434457,400000.0
Condominium/Apartment,Mukim Petaling,PR1MA ALAM DAMAI,Leasehold,990.2797568,24,333000,2021,10423.65357921872,347000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,734.959802112,4,190000,2022,10518.458089229382,580000.0
Condominium/Apartment,Mukim Setapak,Others,Leasehold,1205.5579648,2,420000,2022,9434.403370786516,400000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,3595.1460736,8,4100000,2025,10655.9521268712,565000.0
Condominium/Apartment,Mukim Batu,TRINITY PENTAMONT MONT KIARA,Freehold,2034.3790656,10,2050000,2025,11745.298332582244,1643500.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1097.9188608,8,350000,2024,10346.591314693636,375000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,1679.1700224,7,650000,2023,11131.878210905812,580000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,1140.9745024,8,520000,2023,11131.878210905812,580000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,1819.1008576,1,1060000,2022,10302.979398251076,565000.0
Low-Cost Flat,Mukim Setapak,BANDAR BARU WANGSA MAJU SEK 1,Leasehold,530.6607827199999,2,210000,2024,10463.175280898877,220000.0
Low-Cost Flat,Mukim Setapak,SENTUL MURNI,Leasehold,678.1263552,8,210000,2025,10463.175280898877,190000.0
Condominium/Apartment,Mukim Batu,28 MONT KIARA,Freehold,645.8346240000001,21,610000,2021,10852.14496019228,2030000.0
Condominium/Apartment,Mukim Petaling,ENDAH REGAL,Leasehold,1022.571488,0,570000,2024,10346.591314693636,500000.0
Condominium/Apartment,Mukim Kuala Lumpur,RESIDENSI PANTAI SENTRAL 2,Leasehold,1463.8918144,39,1406000,2022,10990.92508681991,1293500.0
Condominium/Apartment,Mukim Batu,KIARA VILLE,Freehold,4200.0,8,3950000,2022,10518.458089229382,1420000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1388.5444416,3,889000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,1442.3639936,9,620000,2022,10391.98036882808,375000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,936.4602048,13,450000,2024,11745.298332582242,580000.0
Condominium/Apartment,Mukim Kuala Lumpur,DANAU IMPIAN & DANAU IDAMAN,Leasehold,914.932384,10,318000,2023,11404.069648861696,330000.0
Flat,Kuala Lumpur Town Centre,Others,Freehold,779.952947584,4,150000,2022,10302.979398251076,570000.0
Condominium/Apartment,Mukim Batu,SRI PUTRAMAS,Freehold,1044.0993088,24,600000,2023,11131.878210905812,630000.0
Low-Cost Flat,Mukim Kuala Lumpur,Others,Leasehold,548.9594304,10,160000,2021,11221.58385241534,455000.0
Condominium/Apartment,Mukim Batu,RESIDENSI DUTA KIARA,Freehold,2012.8512448,13,1698000,2024,11745.298332582242,1575000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,4025.7024896,18,4400000,2025,10655.9521268712,565000.0
Low-Cost Flat,Mukim Petaling,DESA PETALING,Leasehold,559.7233408,2,120000,2021,10423.65357921872,145000.0
Condominium/Apartment,Mukim Ampang,Others,Freehold,1765.2813056,5,700000,2022,10231.924081632653,375000.0
Condominium/Apartment,Mukim Kuala Lumpur,KONDOMINIUM PANTAI ESTET,Freehold,2346.5324672,35,1774000,2021,11221.58385241534,2222000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,1022.571488,1,640000,2023,10369.28584176086,375000.0
Condominium/Apartment,Kuala Lumpur Town Centre,RESIDENSI STAR,Freehold,1356.2527104,28,2646000,2024,10655.9521268712,1449000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1194.7940544,11,500000,2022,10990.92508681991,455000.0
Condominium/Apartment,Mukim Setapak,Others,Freehold,1453.127904,20,750000,2024,10463.175280898877,400000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1194.7940544,3,650000,2024,11817.214210903478,455000.0
Low-Cost Flat,Mukim Setapak,BANDAR BARU WANGSA MAJU SEK 2,Leasehold,527.4316096,3,220000,2022,9434.403370786516,224500.0
Condominium/Apartment,Mukim Setapak,Others,Leasehold,1097.9188608,1,400000,2023,9948.789325842698,400000.0
Condominium/Apartment,Mukim Kuala Lumpur,BAYU TASIK CONDOMINIUM,Leasehold,947.2241152,4,358000,2022,10990.92508681991,395000.0
Low-Cost Flat,Mukim Petaling,TAMAN LTAT BUKIT JALIL,Leasehold,656.5985344000001,10,200000,2024,10346.591314693636,220000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1442.3639936,16,780000,2023,10369.28584176086,375000.0
Condominium/Apartment,Mukim Batu,PAVILION HILTOP MONT KIARA,Freehold,2680.2136896,21,3550000,2023,11131.878210905812,1800000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,990.2797568,5,378000,2024,11745.298332582242,580000.0
Condominium/Apartment,Mukim Batu,VISTA KIARA,Freehold,1280.9053376,10,560000,2022,10518.458089229382,600000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,1571.5309184,5,895000,2024,10655.9521268712,565000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,3767.36864,3,2650000,2023,10479.465762561138,565000.0
Condominium/Apartment,Mukim Batu,Others,Freehold,2002.0873344,17,1330000,2022,10518.458089229382,580000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,4014.9385792,5,2850000,2022,10302.979398251076,565000.0
Condominium/Apartment,Mukim Batu,TRINITY LEMANJA,Freehold,914.932384,34,509000,2022,10518.458089229382,565000.0
Condominium/Apartment,Mukim Batu,RESIDENSI 22 MONT KIARA,Freehold,2034.3790656,23,1600000,2021,10852.14496019228,2230000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Leasehold,1937.503872,8,1410000,2023,10479.465762561138,565000.0
Low-Cost Flat,Mukim Petaling,DESA PETALING,Leasehold,559.7233408,1,160000,2022,10391.98036882808,145000.0
Condominium/Apartment,Mukim Petaling,Others,Leasehold,807.29328,11,198000,2025,10346.591314693636,375000.0
Condominium/Apartment,Mukim Setapak,Others,Freehold,1151.7384128,10,490000,2025,10463.175280898877,400000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Freehold,1065.6271296,4,1000000,2024,11817.214210903478,455000.0
Condominium/Apartment,Mukim Petaling,THE RAINZ BUKIT JALIL,Freehold,1722.225664,25,1138000,2021,10423.65357921872,950000.0
Condominium/Apartment,Mukim Batu,SRI PUTRAMAS III (ROYAL REGENT),Freehold,1590.044844288,11,670000,2023,11131.878210905812,700000.0
Condominium/Apartment,Mukim Kuala Lumpur,KETUMBAR HEIGHTS,Freehold,753.473728,4,280000,2023,11404.069648861696,300000.0
Condominium/Apartment,Mukim Setapak,Others,Freehold,1079.943130432,11,355000,2024,10463.175280898877,400000.0
Condominium/Apartment,Mukim Kuala Lumpur,Others,Leasehold,753.473728,15,340000,2022,10990.92508681991,455000.0
Condominium/Apartment,Mukim Batu,RESIDENSI SOUTH BROOKS,Freehold,1506.947456,38,1420000,2023,11131.878210905812,1030000.0
Town House,Mukim Petaling,Others,Leasehold,1130.210592,1,420000,2023,10369.28584176086,375000.0
Condominium/Apartment,Mukim Batu,Others,Leasehold,734.959802112,3,210000,2024,11745.298332582242,580000.0
Condominium/Apartment,Mukim Setapak,TMN TERATAI MEWAH,Freehold,925.6962944,5,390000,2022,9434.403370786516,265000.0
Condominium/Apartment,Mukim Setapak,Others,Freehold,1334.7248896,15,420000,2022,9434.403370786516,400000.0
Condominium/Apartment,Kuala Lumpur Town Centre,Others,Freehold,1044.0993088,19,220000,2023,10479.465762561138,570000.0
Low-Cost Flat,Mukim Setapak,Others,Leasehold,530.6607827199999,5,200000,2022,9434.403370786516,400000.0
Condominium/Apartment,Mukim Petaling,THE Z RESIDENCE,Freehold,1237.849696,3,590000,2022,10391.98036882808,650000.0
Condominium/Apartment,Mukim Petaling,Others,Freehold,1011.8075776,2,350000,2024,10346.591314693636,375000.0
Flat,Mukim Petaling,TMN DESA TASEK,Leasehold,904.1684736,2,255000,2021,10423.65357921872,241000.0
Condominium/Apartment,Mukim Petaling,PARAISO @ THE EARTH,Leasehold,1227.0857856,27,731000,2022,10391.98036882808,708000.0
Low-Cost Flat,Mukim Petaling,Others,Freehold,656.5985344000001,13,180000,2023,10369.28584176086,375000.0
Condominium/Apartment,Mukim Kuala Lumpur,1 RAZAK MANSION,Leasehold,807.29328,14,290000,2024,11817.214210903478,299000.0
Condominium/Apartment,Mukim Ampang,Others,Leasehold,1173.2662336,10,460000,2024,10573.024,375000.0
Condominium/Apartment,Mukim Batu,SENI MONT KIARA,Freehold,3530.5626112,17,2850000,2024,11745.298332582242,2300000.0
Condominium/Apartment,Kuala Lumpur Town Centre,ONE COCHRANE RESIDENCES,Freehold,1054.8632192,35,1108000,2022,10302.979398251076,1104000.0
Low-Cost Flat,Kuala Lumpur Town Centre,Others,Leasehold,839.5850112,2,285000,2021,10310.3500074107,570000.0
