Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Kuala Lumpur,LUCKY GARDEN (JLN BANGSAR),JLN TEMPINIS KANAN,March 2023,Freehold,372,sq.m,147.71,sq.m,    ,2800000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Kuala Lumpur,SALAK SOUTH LOW COST HOUSING,JLN 18/108,November 2021,Leasehold,204.38,sq.m,98.47,sq.m,    ,320000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Petaling,HAPPY GARDEN,JALAN JIRAN 8,December 2021,Freehold,355,sq.m,120.03,sq.m,    ,1300000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,HOTSPRING GARDEN,JALAN AIR KUNING,October 2023,Leasehold,215.5,sq.m,85.76,sq.m,    ,470000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,HOTSPRING GARDEN,LRG AIR PUTEH,March 2023,Leasehold,214.486,sq.m,79.95,sq.m,    ,460000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,KB AIR PANAS,LORONG AYER PUTEH,February 2023,Leasehold,238.77,sq.m,65.36,sq.m,    ,470000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,TMN SETAPAK (SETAPAK GARDEN),JALAN TIOMAN 4,August 2022,Freehold,287.711,sq.m,116.13,sq.m,    ,900000
1 - 1 1/2 Storey Semi-Detached,Kuala Lumpur,Mukim Setapak,TMN SETAPAK (SETAPAK GARDEN),JLN UMBUN 1,August 2024,Freehold,412.26,sq.m,132.76,sq.m,    ,1120000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,JALAN SENTUL,JALAN KOVIL ULU,March 2024,Freehold,156.072,sq.m,108.32,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,KG PANDAN,JLN BELANGKAS,December 2021,Freehold,148.64,sq.m,109.62,sq.m,    ,380000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,KG PANDAN,JLN BELANGKAS 3,March 2023,Freehold,148.64,sq.m,109.62,sq.m,    ,548000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,MILLION GARDEN, JALAN PUYOH,February 2024,Freehold,113.617,sq.m,74.35,sq.m,    ,650000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,MILLION GARDEN,JLN PUYOH,April 2022,Freehold,124.114,sq.m,74.32,sq.m,    ,700000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN GOLDEN,JLN KOLAM AIR  2,February 2022,Freehold,139.35,sq.m,92.9,sq.m,    ,430000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN GOLDEN,JLN KOLAM AIR  4,August 2022,Freehold,139.35,sq.m,94.02,sq.m,    ,447000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN KHET LOONG,JLN TANJUNG 12,December 2021,Freehold,180,sq.m,204.76,sq.m,    ,960000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JALAN WIRA 1,October 2025,Leasehold,262.72,sq.m,106,sq.m,    ,750000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JALAN WIRA 7,November 2024,Leasehold,143.066,sq.m,78.13,sq.m,    ,450000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JALAN WIRA 7,October 2025,Leasehold,143.07,sq.m,93,sq.m,    ,540000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JLN WIRA 1,January 2024,Leasehold,143.066,sq.m,106.28,sq.m,    ,485000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JLN WIRA 2,December 2021,Leasehold,143.066,sq.m,90.58,sq.m,    ,500000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JLN WIRA 7,July 2022,Leasehold,143.066,sq.m,78.13,sq.m,    ,550000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JLN WIRA 8,September 2022,Leasehold,220.173,sq.m,92.53,sq.m,    ,560000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JLN WIRA WATI 6,February 2025,Leasehold,143.066,sq.m,102,sq.m,    ,500000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Kuala Lumpur Town Centre,TMN MALURI,JLN. WIRA 8,December 2021,Leasehold,143.066,sq.m,69.77,sq.m,    ,500000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRA 1,February 2025,Leasehold,208.096,sq.m,117.05,sq.m,    ,750000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRA 4,November 2021,Leasehold,262.721,sq.m,117.9,sq.m,    ,760000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRA 5,March 2024,Leasehold,379.682,sq.m,113.34,sq.m,    ,1109000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRA 7,August 2023,Leasehold,143.066,sq.m,78.27,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRAWATI 3,December 2021,Leasehold,143.066,sq.m,73.02,sq.m,    ,575000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRAWATI 3,May 2023,Leasehold,143.066,sq.m,73.02,sq.m,    ,570000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRAWATI 3,May 2024,Leasehold,262.814,sq.m,73.02,sq.m,    ,780000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JALAN WIRAWATI 4,February 2023,Leasehold,143.066,sq.m,78.27,sq.m,    ,540000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JLN WIRAWATI 4,November 2021,Leasehold,143.066,sq.m,73.02,sq.m,    ,520000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JLN WIRAWATI 4,June 2023,Leasehold,143.066,sq.m,77.01,sq.m,    ,450000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Ampang,TMN MALURI,JLN WIRAWATI 5,June 2023,Leasehold,143.066,sq.m,102.2,sq.m,    ,650000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,BAMBOO GARDEN,JALAN CENDERUH,September 2024,Freehold,134,sq.m,89.56,sq.m,    ,600000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,BAMBOO GARDEN,JALAN TEROLAK 2,January 2021,Freehold,133.776,sq.m,89.56,sq.m,    ,750000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,BAMBOO GARDEN,JALAN TEROLAK 4,August 2023,Freehold,138,sq.m,89.56,sq.m,    ,415000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,BAMBOO GARDEN,JALAN TEROLAK 4,July 2024,Freehold,139,sq.m,89.56,sq.m,    ,480000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,BATU VIEW GARDEN,JALAN BATU HAMBAR,May 2024,Freehold,238.196,sq.m,124.39,sq.m,    ,385000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,DESA BAKTI,JALAN 5/2B,February 2022,Leasehold,139,sq.m,65.21,sq.m,    ,350000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,DESA BAKTI,JALAN 7/2B,December 2021,Leasehold,139,sq.m,71.5,sq.m,    ,420000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,DESA BAKTI,JALAN 10/2B,July 2022,Leasehold,139,sq.m,84.53,sq.m,    ,450000
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,IPOH ROAD GARDEN,JALAN CENDERUH 4,December 2022,Freehold,134,sq.m,89.65,sq.m,    ,450000
